latitude,longitude,time_received
40.785771,-73.948824,2014-08-04 10:52:20+00
40.786756,-73.948217,2014-08-04 10:52:51+00
40.787633,-73.94747,2014-08-04 10:53:22+00
40.789476,-73.946423,2014-08-04 10:53:53+00
40.789653,-73.946303,2014-08-04 10:54:24+00
40.790582,-73.945599,2014-08-04 10:54:56+00
40.791973,-73.944499,2014-08-04 10:55:27+00
40.791973,-73.944511,2014-08-04 10:55:59+00
40.792182,-73.944344,2014-08-04 10:56:30+00
40.793453,-73.943388,2014-08-04 10:57:02+00
40.79577,-73.941621,2014-08-04 10:57:33+00
40.796671,-73.941082,2014-08-04 10:58:04+00
40.798333,-73.939756,2014-08-04 10:58:36+00
40.798457,-73.93954,2014-08-04 10:59:07+00
40.799377,-73.938989,2014-08-04 10:59:38+00
40.800274,-73.938355,2014-08-04 11:00:09+00
40.801994,-73.937081,2014-08-04 11:00:41+00
40.80232,-73.936945,2014-08-04 11:01:12+00
40.802562,-73.936859,2014-08-04 11:01:43+00
40.804035,-73.936339,2014-08-04 11:02:14+00
40.804383,-73.937251,2014-08-04 11:02:46+00
40.8044,-73.937263,2014-08-04 11:03:19+00
40.804345,-73.93732,2014-08-04 11:03:51+00
40.804587,-73.937795,2014-08-04 11:04:23+00
40.804915,-73.938707,2014-08-04 11:04:54+00
40.804895,-73.938824,2014-08-04 11:05:24+00
40.805795,-73.940721,2014-08-04 11:05:55+00
40.806403,-73.942139,2014-08-04 11:06:26+00
40.806589,-73.94253,2014-08-04 11:06:57+00
40.806927,-73.943337,2014-08-04 11:07:29+00
40.807179,-73.943777,2014-08-04 11:08:00+00
40.807739,-73.945127,2014-08-04 11:08:31+00
40.807736,-73.945118,2014-08-04 11:09:03+00
40.808088,-73.945843,2014-08-04 11:09:34+00
40.808299,-73.946528,2014-08-04 11:10:05+00
40.809269,-73.948874,2014-08-04 11:10:36+00
40.80978,-73.95021,2014-08-04 11:11:07+00
40.810428,-73.951738,2014-08-04 11:11:39+00
40.810606,-73.952246,2014-08-04 11:12:10+00
40.810685,-73.952362,2014-08-04 11:12:42+00
40.811084,-73.953184,2014-08-04 11:13:13+00
40.811325,-73.953888,2014-08-04 11:13:44+00
40.811531,-73.954351,2014-08-04 11:14:15+00
40.8131,-73.955833,2014-08-04 11:14:47+00
40.813367,-73.955915,2014-08-04 11:15:18+00
40.813694,-73.956005,2014-08-04 11:15:49+00
40.815461,-73.954764,2014-08-04 11:16:22+00
40.817481,-73.953299,2014-08-04 11:16:54+00
40.817639,-73.953187,2014-08-04 11:17:26+00
40.819195,-73.951952,2014-08-04 11:17:57+00
40.819355,-73.951625,2014-08-04 11:18:29+00
40.819865,-73.951233,2014-08-04 11:19:00+00
40.822864,-73.949035,2014-08-04 11:19:32+00
40.82374,-73.948473,2014-08-04 11:20:03+00
40.824199,-73.948396,2014-08-04 11:20:34+00
40.825578,-73.947504,2014-08-04 11:21:05+00
40.82583,-73.947248,2014-08-04 11:21:37+00
40.827012,-73.946409,2014-08-04 11:22:08+00
40.829894,-73.944285,2014-08-04 11:22:40+00
40.83008,-73.944079,2014-08-04 11:23:13+00
40.831688,-73.94293,2014-08-04 11:23:44+00
40.83191,-73.942605,2014-08-04 11:24:17+00
40.831921,-73.942492,2014-08-04 11:24:49+00
40.834683,-73.941137,2014-08-04 11:25:34+00
40.83505,-73.940578,2014-08-04 11:26:08+00
40.836038,-73.939679,2014-08-04 11:26:43+00
40.837633,-73.93866,2014-08-04 11:27:17+00
40.83789,-73.938519,2014-08-04 11:27:51+00
40.839777,-73.937024,2014-08-04 11:28:25+00
40.839771,-73.937028,2014-08-04 11:29:00+00
40.839784,-73.937015,2014-08-04 11:29:33+00
40.839788,-73.937009,2014-08-04 11:30:05+00
40.839781,-73.936995,2014-08-04 11:30:49+00
40.840458,-73.93654,2014-08-04 11:31:23+00
40.841702,-73.935766,2014-08-04 11:31:58+00
40.842101,-73.935381,2014-08-04 11:32:46+00
40.843351,-73.934324,2014-08-04 11:33:20+00
40.843379,-73.934356,2014-08-04 11:33:56+00
40.845098,-73.93307,2014-08-04 11:34:30+00
40.846005,-73.932603,2014-08-04 11:35:02+00
40.846623,-73.931896,2014-08-04 11:35:36+00
40.847991,-73.930981,2014-08-04 11:36:10+00
40.848001,-73.931012,2014-08-04 11:36:44+00
40.848537,-73.930559,2014-08-04 11:37:18+00
40.850491,-73.929407,2014-08-04 11:37:52+00
40.850615,-73.929395,2014-08-04 11:38:26+00
40.852214,-73.928018,2014-08-04 11:38:57+00
40.852414,-73.927878,2014-08-04 11:39:29+00
40.85311,-73.927305,2014-08-04 11:40:00+00
40.853978,-73.926706,2014-08-04 11:40:32+00
40.853975,-73.926703,2014-08-04 11:41:03+00
