shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
M1010316,40.7296154612,-73.9900035433,10001
M1010316,40.7295561656,-73.9899010838,10002
M1010316,40.7298498337,-73.9896737315,10003
M1010316,40.7301325256,-73.9894824596,10004
M1010316,40.7304108246,-73.9892800018,10005
M1010316,40.7304108246,-73.9892800018,20001
M1010316,40.7307226068,-73.9890530017,20002
M1010316,40.7313209195,-73.9886127103,20003
M1010316,40.7317765138,-73.988273465,20004
M1010316,40.7319631446,-73.9881543624,20005
M1010316,40.7326026215,-73.9876815733,20006
M1010316,40.7332914987,-73.9871798997,20007
M1010316,40.7337234868,-73.9868662579,20008
M1010316,40.7337234868,-73.9868662579,30001
M1010316,40.7339776293,-73.9866818245,30002
M1010316,40.7346171005,-73.9862126153,30003
M1010316,40.7352044248,-73.9857867084,30004
M1010316,40.7357890027,-73.9853607946,30005
M1010316,40.7363763233,-73.9849312644,30006
M1010316,40.7369608985,-73.9845089441,30007
M1010316,40.7375454715,-73.9840830079,30008
M1010316,40.7381629764,-73.9836317965,30009
M1010316,40.73882988,-73.9831480874,30010
M1010316,40.7392560935,-73.9828390861,30011
M1010316,40.7392560935,-73.9828390861,40001
M1010316,40.7394967816,-73.9826643687,40002
M1010316,40.7401142802,-73.9822095224,40003
M1010316,40.740731778,-73.9817618849,40004
M1010316,40.7413492734,-73.9813106305,40005
M1010316,40.7419695118,-73.9808593669,40006
M1010316,40.7425870042,-73.9804117045,40007
M1010316,40.7432044942,-73.979960425,40008
M1010316,40.7438247271,-73.9795091363,40009
M1010316,40.7444422135,-73.9790578401,40010
M1010316,40.7450569533,-73.9786065363,40011
M1010316,40.7452081682,-73.9784967775,40012
M1010316,40.7452081682,-73.9784967775,50001
M1010316,40.7457238352,-73.9781227269,50002
M1010316,40.7463907143,-73.9776352988,50003
M1010316,40.7470081938,-73.9771875768,50004
M1010316,40.7476284156,-73.9767362365,50005
M1010316,40.7482431467,-73.9762884988,50006
M1010316,40.748863364,-73.9758335327,50007
M1010316,40.7494808355,-73.9753821683,50008
M1010316,40.750098306,-73.9749344046,50009
M1010316,40.750765172,-73.9744505218,50010
M1010316,40.7511161676,-73.9741952159,50011
M1010316,40.7511161676,-73.9741952159,60001
M1010316,40.7514402686,-73.9739594076,60002
M1010316,40.7520632211,-73.9735043969,60003
M1010316,40.7526916605,-73.9730457661,60004
M1010316,40.7533173541,-73.9725907372,60005
M1010316,40.7539430459,-73.9721356997,60006
M1010316,40.7545687349,-73.9716770442,60007
M1010316,40.7551916772,-73.9712183813,60008
M1010316,40.755530042,-73.9709724315,60009
M1010316,40.755530042,-73.9709724315,70001
M1010316,40.755822852,-73.9707597063,70002
